[2026-06-22 09:40:53] SESSÃO TERMINADA | utilizador: saude@medinventec.pt
[2026-06-22 09:42:34] AUTENTICAÇÃO BEM SUCEDIDA | utilizador: saude@medinventec.pt
[2026-06-22 09:43:26] SESSÃO TERMINADA | utilizador: saude@medinventec.pt
[2026-06-22 09:43:37] TENTATIVA DE AUTENTICAÇÃO FALHADA | utilizador: tecnico@medinventec.pt
[2026-06-22 09:44:12] AUTENTICAÇÃO BEM SUCEDIDA | utilizador: tecnico@medinventec.pt
[2026-06-22 11:03:54] SESSÃO TERMINADA | utilizador: tecnico@medinventec.pt
[2026-06-22 11:04:14] TENTATIVA DE AUTENTICAÇÃO FALHADA | utilizador: saude@medinventec.pt
[2026-06-22 11:04:27] AUTENTICAÇÃO BEM SUCEDIDA | utilizador: saude@medinventec.pt
[2026-06-22 11:18:57] SESSÃO TERMINADA | utilizador: saude@medinventec.pt
[2026-06-22 11:19:08] AUTENTICAÇÃO BEM SUCEDIDA | utilizador: admin@medinventec.pt
[2026-06-22 18:07:18] SESSÃO TERMINADA | utilizador: admin@medinventec.pt
[2026-06-22 18:07:34] AUTENTICAÇÃO BEM SUCEDIDA | utilizador: tecnico@medinventec.pt
[2026-06-22 18:08:03] SESSÃO TERMINADA | utilizador: tecnico@medinventec.pt
[2026-06-22 18:08:12] AUTENTICAÇÃO BEM SUCEDIDA | utilizador: saude@medinventec.pt
[2026-06-22 18:18:18] SESSÃO TERMINADA | utilizador: saude@medinventec.pt
[2026-06-22 18:18:35] AUTENTICAÇÃO BEM SUCEDIDA | utilizador: admin@medinventec.pt
[2026-06-22 19:29:22] SESSÃO TERMINADA | utilizador: admin@medinventec.pt
[2026-06-22 19:29:50] AUTENTICAÇÃO BEM SUCEDIDA | utilizador: admin@medinventec.pt
[2026-06-22 19:30:05] SESSÃO TERMINADA | utilizador: admin@medinventec.pt
[2026-06-22 19:30:15] AUTENTICAÇÃO BEM SUCEDIDA | utilizador: saude@medinventec.pt
[2026-06-22 19:30:50] PASSWORD ALTERADA | utilizador: saude@medinventec.pt
[2026-06-22 19:30:53] SESSÃO TERMINADA | utilizador: saude@medinventec.pt
[2026-06-22 19:31:02] AUTENTICAÇÃO BEM SUCEDIDA | utilizador: saude@medinventec.pt
[2026-06-22 20:53:45] SESSÃO TERMINADA | utilizador: saude@medinventec.pt
[2026-06-22 20:54:02] AUTENTICAÇÃO BEM SUCEDIDA | utilizador: admin@medinventec.pt
[2026-06-22 21:42:05] SESSÃO TERMINADA | utilizador: admin@medinventec.pt
[2026-06-23 10:38:55] AUTENTICAÇÃO BEM SUCEDIDA | utilizador: admin@medinventec.pt
[2026-06-23 17:50:15] AUTENTICAÇÃO BEM SUCEDIDA | utilizador: tecnico@medinventec.pt
[2026-06-23 17:51:02] AUTENTICAÇÃO BEM SUCEDIDA | utilizador: saude@medinventec.pt
[2026-06-23 18:42:58] SESSÃO TERMINADA | utilizador: saude@medinventec.pt
[2026-06-23 18:44:36] AUTENTICAÇÃO BEM SUCEDIDA | utilizador: admin@medinventec.pt
